SCLK,LMST,LTST,PRESSURE,PRESSURE_UNCERTAINTY,TRANSDUCER
683051429,00182M00:04:48.034,0182 00:19:34,713.35,,1
683051430,00182M00:04:49.007,0182 00:19:35,713.30,,1
683051431,00182M00:04:49.980,0182 00:19:36,713.35,,1
683051432,00182M00:04:50.953,0182 00:19:37,713.31,,1
683051433,00182M00:04:51.927,0182 00:19:38,713.30,,1
683051434,00182M00:04:52.900,0182 00:19:39,713.34,,1
683051435,00182M00:04:53.873,0182 00:19:40,713.33,,1
683051436,00182M00:04:54.846,0182 00:19:40,713.28,,1
683051437,00182M00:04:55.820,0182 00:19:41,713.32,,1
683051438,00182M00:04:56.793,0182 00:19:42,713.30,,1
683051439,00182M00:04:57.766,0182 00:19:43,713.28,,1
683051440,00182M00:04:58.739,0182 00:19:44,713.35,,1
683051441,00182M00:04:59.713,0182 00:19:45,713.29,,1
683051442,00182M00:05:00.686,0182 00:19:46,713.31,,1
683051443,00182M00:05:01.659,0182 00:19:47,713.33,,1
683051444,00182M00:05:02.632,0182 00:19:48,713.33,,1
683051445,00182M00:05:03.606,0182 00:19:49,713.24,,1
683051446,00182M00:05:04.579,0182 00:19:50,713.31,,1
683051447,00182M00:05:05.552,0182 00:19:51,713.33,,1
683051448,00182M00:05:06.525,0182 00:19:52,713.33,,1
683051449,00182M00:05:07.499,0182 00:19:53,713.33,,1
683051450,00182M00:05:08.472,0182 00:19:54,713.28,,1
683051451,00182M00:05:09.445,0182 00:19:55,713.35,,1
683051452,00182M00:05:10.418,0182 00:19:56,713.30,,1
683051453,00182M00:05:11.392,0182 00:19:57,713.31,,1
683051454,00182M00:05:12.365,0182 00:19:58,713.31,,1
683051455,00182M00:05:13.338,0182 00:19:59,713.33,,1
683051456,00182M00:05:14.311,0182 00:20:00,713.37,,1
683051457,00182M00:05:15.285,0182 00:20:01,713.31,,1
683051458,00182M00:05:16.258,0182 00:20:02,713.33,,1
683051459,00182M00:05:17.231,0182 00:20:03,713.29,,1
683051460,00182M00:05:18.204,0182 00:20:04,713.38,,1
683051461,00182M00:05:19.178,0182 00:20:05,713.30,,1
683051462,00182M00:05:20.151,0182 00:20:06,713.37,,1
683051463,00182M00:05:21.124,0182 00:20:07,713.31,,1
683051464,00182M00:05:22.097,0182 00:20:08,713.35,,1
683051465,00182M00:05:23.071,0182 00:20:09,713.33,,1
683051466,00182M00:05:24.044,0182 00:20:10,713.33,,1
683051467,00182M00:05:25.017,0182 00:20:11,713.38,,1
683051468,00182M00:05:25.990,0182 00:20:12,713.29,,1
683051469,00182M00:05:26.964,0182 00:20:13,713.35,,1
683051470,00182M00:05:27.937,0182 00:20:14,713.34,,1
683051471,00182M00:05:28.910,0182 00:20:15,713.31,,1
683051472,00182M00:05:29.883,0182 00:20:16,713.31,,1
683051473,00182M00:05:30.857,0182 00:20:17,713.29,,1
683051474,00182M00:05:31.830,0182 00:20:17,713.29,,1
683051475,00182M00:05:32.803,0182 00:20:18,713.29,,1
683051476,00182M00:05:33.776,0182 00:20:19,713.29,,1
683051477,00182M00:05:34.750,0182 00:20:20,713.30,,1
683051478,00182M00:05:35.723,0182 00:20:21,713.34,,1
683051479,00182M00:05:36.696,0182 00:20:22,713.27,,1
683051480,00182M00:05:37.669,0182 00:20:23,713.27,,1
683051481,00182M00:05:38.643,0182 00:20:24,713.27,,1
683051482,00182M00:05:39.616,0182 00:20:25,713.33,,1
